date,trend,post_count,comment_count,avg_sentiment_score,positive_count,negative_count,Close,pos,neu,neg
2025-01-02,17.0,0.0,0.0,0.0,0.0,0.0,138.3,51.51515151515152,15.151515151515152,33.33333333333333
2025-01-03,17.0,0.0,0.0,0.0,0.0,0.0,144.46,39.02439024390244,17.073170731707318,43.90243902439025
2025-01-06,17.0,0.0,0.0,0.0,0.0,0.0,149.42,46.66666666666666,15.555555555555555,37.77777777777778
2025-01-07,52.0,0.0,0.0,0.0,0.0,0.0,140.13,50.0,20.3125,29.6875
2025-01-08,34.0,0.0,0.0,0.0,0.0,0.0,140.1,50.70422535211267,38.0281690140845,11.267605633802818
2025-01-10,22.0,0.0,0.0,0.0,0.0,0.0,135.9,38.23529411764706,29.411764705882355,32.35294117647059
2025-01-13,16.666666666666668,0.0,0.0,0.0,0.0,0.0,133.22,35.714285714285715,42.85714285714285,21.428571428571427
2025-01-14,20.0,0.0,0.0,0.0,0.0,0.0,131.75,45.0,30.0,25.0
2025-01-15,18.0,0.0,0.0,0.0,0.0,0.0,136.23,52.17391304347826,8.695652173913043,39.130434782608695
2025-01-16,19.0,0.0,0.0,0.0,0.0,0.0,133.56,43.333333333333336,20.0,36.66666666666666
2025-01-17,18.0,0.0,0.0,0.0,0.0,0.0,137.7,61.53846153846154,23.07692307692308,15.384615384615383
2025-01-21,18.0,1.0,171.0,-0.0032633340451866,10.0,10.0,140.82,12.5,25.0,62.5
2025-01-22,22.0,1.0,159.0,0.0445125475525856,12.0,5.0,147.06,45.45454545454545,18.181818181818183,36.36363636363637
2025-01-23,20.0,1.0,551.0,-0.0879082307219505,11.0,59.0,147.21,45.0,25.0,30.0
2025-01-24,19.0,0.0,0.0,0.0,0.0,0.0,142.61,51.85185185185185,14.814814814814811,33.33333333333333
2025-01-27,33.666666666666664,0.0,0.0,0.0,0.0,0.0,118.41,31.428571428571427,40.0,28.57142857142857
2025-01-28,100.0,2.0,2173.0,-0.0599578544497489,108.0,269.0,128.98,31.91489361702128,36.17021276595745,31.91489361702128
2025-01-29,61.0,1.0,69.0,-0.0862549394369125,1.0,9.0,123.69,38.46153846153847,26.923076923076923,34.61538461538461
2025-01-30,50.0,0.0,0.0,0.0,0.0,0.0,124.64,35.714285714285715,14.285714285714285,50.0
2025-01-31,38.0,0.0,0.0,0.0,0.0,0.0,120.06,52.77777777777778,27.77777777777778,19.444444444444446
2025-02-03,25.33333333333333,0.0,0.0,0.0,0.0,0.0,116.65,47.05882352941176,47.05882352941176,5.88235294117647
2025-02-04,27.0,0.0,0.0,0.0,0.0,0.0,118.64,47.05882352941176,11.76470588235294,41.17647058823529
2025-02-05,25.0,0.0,0.0,0.0,0.0,0.0,124.82,41.935483870967744,16.129032258064516,41.935483870967744
2025-02-06,23.0,0.0,0.0,0.0,0.0,0.0,128.67,51.85185185185185,25.925925925925924,22.22222222222222
2025-02-07,23.0,0.0,0.0,0.0,0.0,0.0,129.83,33.33333333333333,38.095238095238095,28.57142857142857
2025-02-10,16.666666666666668,0.0,0.0,0.0,0.0,0.0,133.56,48.38709677419355,12.903225806451612,38.70967741935484
2025-02-11,20.0,0.0,0.0,0.0,0.0,0.0,132.79,43.75,43.75,12.5
2025-02-12,19.0,1.0,582.0,-0.0504767820239067,25.0,61.0,131.13,40.74074074074074,37.03703703703704,22.22222222222222
2025-02-13,20.0,0.0,0.0,0.0,0.0,0.0,135.28,50.0,19.23076923076924,30.76923076923077
2025-02-14,20.0,0.0,0.0,0.0,0.0,0.0,138.84,59.25925925925925,25.925925925925924,14.814814814814811
2025-02-18,19.0,0.0,0.0,0.0,0.0,0.0,139.39,32.0,36.0,32.0
2025-02-19,19.0,0.0,0.0,0.0,0.0,0.0,139.22,50.0,26.923076923076923,23.07692307692308
2025-02-20,20.0,0.0,0.0,0.0,0.0,0.0,140.1,56.52173913043478,26.08695652173913,17.391304347826086
2025-02-21,19.0,0.0,0.0,0.0,0.0,0.0,134.42,50.0,20.833333333333336,29.166666666666668
2025-02-24,15.0,0.0,0.0,0.0,0.0,0.0,130.27,43.75,25.0,31.25
2025-02-25,22.0,0.0,0.0,0.0,0.0,0.0,126.62,42.10526315789473,26.31578947368421,31.57894736842105
2025-02-26,38.0,0.0,0.0,0.0,0.0,0.0,131.27,40.27777777777778,26.38888888888889,33.33333333333333
2025-02-27,35.0,2.0,426.0,-0.0525952987372875,37.0,63.0,120.14,37.83783783783784,24.324324324324326,37.83783783783784
2025-02-28,26.0,0.0,0.0,0.0,0.0,0.0,124.91,35.8974358974359,35.8974358974359,28.205128205128204
2025-03-03,17.333333333333332,0.0,0.0,0.0,0.0,0.0,114.05,42.0,38.0,20.0
2025-03-04,26.0,0.0,0.0,0.0,0.0,0.0,115.98,41.935483870967744,32.25806451612903,25.806451612903224
2025-03-05,22.0,0.0,0.0,0.0,0.0,0.0,117.29,54.54545454545454,31.818181818181817,13.636363636363637
2025-03-06,21.0,0.0,0.0,0.0,0.0,0.0,110.56,35.0,45.0,20.0
2025-03-07,23.0,1.0,176.0,-0.0823224708437919,8.0,28.0,112.68,40.0,32.0,28.000000000000004
2025-03-10,16.0,0.0,0.0,0.0,0.0,0.0,106.97,40.0,45.71428571428572,14.285714285714285
2025-03-11,24.0,1.0,1700.0,-0.0753527507185936,43.0,196.0,108.75,59.25925925925925,25.925925925925924,14.814814814814811
2025-03-12,21.0,0.0,0.0,0.0,0.0,0.0,115.74,37.5,21.875,40.625
2025-03-13,20.0,0.0,0.0,0.0,0.0,0.0,115.58,40.0,16.666666666666664,43.333333333333336
2025-03-14,20.0,0.0,0.0,0.0,0.0,0.0,121.67,58.620689655172406,6.896551724137931,34.48275862068966
2025-03-17,15.0,0.0,0.0,0.0,0.0,0.0,119.53,54.83870967741935,19.35483870967742,25.806451612903224
2025-03-18,21.0,0.0,0.0,0.0,0.0,0.0,115.43,55.91397849462365,20.43010752688172,23.655913978494624
2025-03-19,23.0,0.0,0.0,0.0,0.0,0.0,117.52,0.0,0.0,0.0
2025-03-20,20.0,0.0,0.0,0.0,0.0,0.0,118.53,75.0,5.0,20.0
2025-03-21,18.0,1.0,34.0,-0.1220581084489822,2.0,7.0,117.7,48.07692307692308,34.61538461538461,17.307692307692307
2025-03-24,13.666666666666666,0.0,0.0,0.0,0.0,0.0,121.41,41.891891891891895,16.216216216216218,41.891891891891895
2025-03-25,18.0,0.0,0.0,0.0,0.0,0.0,120.69,53.333333333333336,23.33333333333333,23.33333333333333
2025-03-26,18.0,0.0,0.0,0.0,0.0,0.0,113.76,0.0,0.0,0.0
2025-03-27,17.0,0.0,0.0,0.0,0.0,0.0,111.43,0.0,0.0,0.0
2025-03-28,16.0,0.0,0.0,0.0,0.0,0.0,109.67,33.84615384615385,55.38461538461539,10.76923076923077
2025-03-31,13.333333333333334,0.0,0.0,0.0,0.0,0.0,108.38,39.436619718309856,40.845070422535215,19.718309859154928
2025-04-01,17.0,0.0,0.0,0.0,0.0,0.0,110.15,37.28813559322034,35.59322033898305,27.11864406779661
2025-04-02,17.0,0.0,0.0,0.0,0.0,0.0,110.42,0.0,0.0,0.0
2025-04-03,22.0,0.0,0.0,0.0,0.0,0.0,101.8,37.83783783783784,56.75675675675676,5.405405405405405
2025-04-04,26.0,0.0,0.0,0.0,0.0,0.0,94.31,39.0625,42.1875,18.75
2025-04-07,19.0,0.0,0.0,0.0,0.0,0.0,97.64,45.23809523809524,38.095238095238095,16.666666666666664
2025-04-08,25.0,0.0,0.0,0.0,0.0,0.0,96.3,36.17021276595745,23.404255319148938,40.42553191489361
2025-04-09,29.0,1.0,671.0,-0.104751743376255,20.0,105.0,114.33,0.0,0.0,0.0
2025-04-10,23.0,0.0,0.0,0.0,0.0,0.0,107.57,28.000000000000004,48.0,24.0
2025-04-11,19.0,0.0,0.0,0.0,0.0,0.0,110.93,38.63636363636363,31.818181818181817,29.545454545454547
2025-04-14,14.333333333333334,0.3333333333333333,222.0,-0.0317324548959732,6.333333333333333,29.666666666666668,110.71,48.52941176470589,8.823529411764707,42.64705882352941
2025-04-15,19.0,0.0,0.0,0.0,0.0,0.0,112.2,36.0,28.000000000000004,36.0
2025-04-16,28.0,3.0,1005.0,-0.0926185622811317,29.0,118.0,104.49,33.33333333333333,66.66666666666666,0.0
2025-04-17,22.0,1.0,46.0,-0.078080229461193,0.0,4.0,101.49,39.436619718309856,46.478873239436616,14.084507042253522
2025-04-21,12.666666666666666,0.3333333333333333,187.0,-0.0291128953297932,6.333333333333333,25.666666666666668,96.91,35.18518518518518,53.70370370370371,11.11111111111111
2025-04-22,19.0,0.0,0.0,0.0,0.0,0.0,98.89,50.0,16.666666666666664,33.33333333333333
2025-04-23,19.0,0.0,0.0,0.0,0.0,0.0,102.71,31.818181818181817,27.27272727272727,40.909090909090914
2025-04-24,17.0,0.0,0.0,0.0,0.0,0.0,106.43,43.85964912280701,22.807017543859647,33.33333333333333
2025-04-25,17.0,0.0,0.0,0.0,0.0,0.0,111.01,28.26086956521739,36.95652173913043,34.78260869565217
2025-04-28,12.666666666666666,0.0,0.0,0.0,0.0,0.0,108.73,54.761904761904766,28.57142857142857,16.666666666666664
2025-04-29,15.0,2.0,326.0,-0.1019873917102813,9.0,54.0,109.02,33.33333333333333,53.333333333333336,13.333333333333334
2025-04-30,16.0,0.0,0.0,0.0,0.0,0.0,108.92,34.78260869565217,47.82608695652174,17.391304347826086
2025-05-01,58.0,0.0,0.0,0.0,0.0,0.0,111.61,37.77777777777778,22.22222222222222,40.0
2025-05-02,56.0,2.0,278.0,-0.0370890982449054,7.0,19.0,114.5,38.775510204081634,34.69387755102041,26.53061224489796
2025-05-05,41.0,0.0,0.0,0.0,0.0,0.0,113.82,48.64864864864865,29.72972972972973,21.62162162162162
2025-05-06,46.0,0.0,0.0,0.0,0.0,0.0,113.54,25.37313432835821,43.28358208955223,31.343283582089555
2025-05-07,49.0,0.0,0.0,0.0,0.0,0.0,117.06,41.66666666666667,29.166666666666668,29.166666666666668
2025-05-08,51.0,2.0,291.0,-0.0016108819982036,9.0,14.0,117.37,42.85714285714285,28.57142857142857,28.57142857142857
2025-05-09,50.0,0.0,0.0,0.0,0.0,0.0,116.65,39.21568627450981,39.21568627450981,21.5686274509804
2025-05-12,42.0,0.0,0.0,0.0,0.0,0.0,123.0,34.21052631578947,15.789473684210526,50.0
2025-05-13,63.0,1.0,65.0,-0.0091392416507005,5.0,6.0,129.93,36.0,16.0,48.0
2025-05-14,67.0,0.0,0.0,0.0,0.0,0.0,135.34,0.0,0.0,0.0
2025-05-15,64.0,1.0,192.0,0.0082358894869685,14.0,18.0,134.83,0.0,0.0,0.0
2025-05-16,56.0,0.0,0.0,0.0,0.0,0.0,135.4,48.93617021276596,14.893617021276595,36.17021276595745
2025-05-19,44.333333333333336,0.0,0.0,0.0,0.0,0.0,135.57,40.78947368421053,11.842105263157894,47.368421052631575
2025-05-20,56.0,0.0,0.0,0.0,0.0,0.0,134.38,50.0,29.310344827586203,20.6896551724138
2025-05-21,55.0,0.0,0.0,0.0,0.0,0.0,131.8,0.0,0.0,0.0
